text,label,notes
"Durant On Warriors: ""I didn't have no relationship with nobody on the Warriors… They never been a winning organization when I was in the league. Nobody liked Golden State. It felt like an underdog to me because I'm looking at the totality of the franchise, not what happened these last 5 years""",news_information,
THE OKLAHOMA CITY THUNDER HAVE BEEN ELIMINATED FROM 2026 NBA CHAMPIONSHIP CONTENTION,news_information,
"[ESPN] Gregg Popovich once called Steve Kerr to tell him he'd finally decided to retire. Steve congratulated him on a Hall of Fame career. A week later Pop signed an extension with San Antonio. ""I realized he couldn't do it,"" Kerr said. ""He couldn't walk away...the job itself is so addictive.""",news_information,
The only way I would tolerate the Aspiration scandal ending,hot_take,
THE NEW YORK KNICKS ARE YOUR 2026 NBA CHAMPIONS,reaction,
14 Years Ago Today - Chris Bosh Pours Champange All Over His Face After Winning Championship,news_information,
LeBron James’ Athleticism During His First Cleveland Stint,news_information,
Knicks fans at MSG boo the president during National Anthem,news_information,
Arguably LeBron's best pass ever - an absolute bullet to Big Z for the easy basket (2006),hot_take,
"[Highlight] ""Thank you, mama. I appreciate you getting me one."" - Karl-Anthony Towns",hot_take,
NJ father and son attacked after Knicks championship game in San Antonio,news_information,
"Draymond Green on Wembanyama: ""you get to a certain height where it becomes a disservice in this league, there's nothing he can do about being 7'5, but I'm not sure 7'5 suits you better than being 7'1 with his skill set, being 7'5 almost does him a disservice""",analysis,
[Highlight] OG Anunoby tips the ball in to give the Knicks the lead,analysis,
"Charles Oakley: ""Patrick (Ewing) always been like that. He never stood up for nobody. And the coldest thing out of this all, I took a case for Patrick on an airplane. Put that out there. I took a case from him. Ask any teammate, Chris Childs, Charles, Allen, John, they might not say nothing""",hot_take,
"Jalen Brunson when asked if leaving $113M on the table was worth it to win a championship: ""100 percent worth it.""",news_information,
"[Charania] Atlanta Hawks guard CJ McCollum has agreed to a one-year, $21 million contract extension with the franchise, plus a trade kicker.",news_information,
"Charles Oakley: ""I was supposed to be on the Roommate podcast. I get a call the day before. They said, we have to cancel you. And then three weeks later, guess who was on there? Dolan.""",news_information,
[Highlight] KAT and Mayor Mamdani lean back together on the Knicks’ float,news_information,
"Kevin Garnett Speaks on Wemby: ""I would love to work with big fella, but this generation has a preference on how they want to workout, and I have to respect that.""",hot_take,
"AJ Dybantsa says he didn't work out for any NBA teams: “I didn’t work out for none, I just visited the cities. Take me to the facility, take me to dinner, talk. I don’t gotta workout. They know what I can do.”",hot_take,
Og Anunoby’s First Move After Winning The Nba Championship Was Handpicking Five Shelter Cats In New York City For Adoption - Three Have Already Found Homes Within Days,news_information,
r/nba player rankings 2026,analysis,
LeBron James Turns Glass Bottle Into Bazooka At Reunion,analysis,
De’Aaron Fox on the president attending the Knicks game: “The president being here just makes it inconvenient on everybody else”,hot_take,
"presumptive top 4 picks (AJ Dybantsa, Darryn Peterson, Cam Boozer, Caleb Wilson) averaged a combined 88.0 points in college. That'd be the highest sum in the entire 2000s",analysis,
NBA players with cajun spelling,news_information,
[Fischer] The Los Angeles Lakers have called the OKC Thunder to inquire about Lu Dort. The Thunder may pick up Dort’s player option and seek to trade him in order to acquire assets.,news_information,
Top 10 highest paid players next season,analysis,
